Name,Substance,Amount,Sold As,Date Published,Date Tested,Location,Size
Rolls Royce,MDMA,"1</li>
</ul>",NA,"Sep 09, 2003","Aug 29, 2003","Dallas, TX",177 mg<br/>7.0 mm x 4.0 mm
Unknown,None Detected,"1</li>
</ul>",NA,"Sep 09, 2003","Aug 29, 2003","Oklahoma City, OK",312 mg<br/>8.0 mm x 5.0 mm
Mickey Mouse,None Detected,"1</li>
</ul>",NA,"Aug 24, 2003","Aug 15, 2003","San Francisco, CA",286 mg<br/>8.0 mm x 5.0 mm
Woman,MDMA,"1</li>
</ul>",NA,"Aug 24, 2003","Aug 15, 2003","San Francisco, CA",263 mg<br/>9.0 mm x 4.0 mm
Shark,Caffeine,"20</li>
",NA,"Aug 24, 2003","Aug 15, 2003","San Jose, CA",271 mg<br/>8.0 mm x 5.0 mm
Rolex,MDMA,"1</li>
</ul>",NA,"Aug 24, 2003","Aug 15, 2003","San Jose, CA",195 mg<br/>8.0 mm x 4.0 mm
Smirnoff,MDMA,"1</li>
</ul>",NA,"Aug 24, 2003","Aug 15, 2003","East Haven, CT",144 mg<br/>7.0 mm x 3.0 mm
Sea Spray,MDMA,"1</li>
</ul>",NA,"Aug 24, 2003","Jul 18, 2003","Napa, CA",171 mg
Versace,MDMA,"1</li>
</ul>",NA,"Aug 24, 2003","Jul 18, 2003","San Francisco, CA",290 mg<br/>8.0 mm x 4.0 mm
Plain Tablet,None Detected,"1</li>
</ul>",NA,"Aug 24, 2003","Jul 18, 2003","Houston, TX",327 mg<br/>10.0 mm x 4.0 mm
Swan,MDA,"4</li>
",NA,"Aug 24, 2003","Jul 18, 2003","San Jose, CA",327 mg<br/>9.0 mm x 3.0 mm
Rolex,Methamphetamine,"1</li>
</ul>",NA,"Aug 24, 2003","Jul 18, 2003","Boston, MA",196 mg<br/>8.0 mm x 4.0 mm
Club,MDA,"1</li>
</ul>",NA,"Aug 24, 2003","Jul 18, 2003","Philadelphia, PA",150 mg<br/>7.0 mm x 3.0 mm
Octagon,MDMA,"1</li>
</ul>",NA,"Aug 24, 2003","Jul 18, 2003","San Francisco, CA",220 mg<br/>9.0 mm x 4.0 mm
Capsule,MDMA,"1</li>
</ul>",NA,"Aug 24, 2003","Jun 20, 2002","Westwood, CA",231 mg<br/>6.0 mm x 16.0 mm
Split,None Detected,"1</li>
</ul>",NA,"Jun 27, 2003","Jun 27, 2003","Hope Mills, NC",76 mg<br/>6.0 mm x 3.0 mm
Question Mark,Unidentified,"1</li>
</ul>",NA,"Jun 27, 2003","Jun 27, 2003","Los Angeles, CA",389 mg<br/>10.0 mm x 4.0 mm
Diamond (capsule),MDMA,"1</li>
</ul>",NA,"Jun 27, 2003","Jun 27, 2003","San Francisco, CA",120 mg
Question Mark,Unidentified,"1</li>
</ul>",NA,"Jun 27, 2003","Jun 27, 2003","Phoenix, AZ",437 mg<br/>9.0 mm x 5.0 mm
Split,None Detected,"1</li>
</ul>",NA,"Jun 27, 2003","Jun 27, 2003","Dallas, TX",162 mg<br/>8.0 mm x 3.0 mm
Fish,MDMA,"1</li>
</ul>",NA,"Jun 27, 2003","Jun 27, 2003","West Palm Beach, FL",208 mg<br/>7.0 mm x 4.0 mm
Mercedes,Methamphetamine,"1</li>
",NA,"Jun 27, 2003","Jun 27, 2003","Hookset, NH",205 mg<br/>9.0 mm x 3.0 mm
Notes,Methamphetamine,"10</li>
",NA,"Jun 27, 2003","Jun 27, 2003","New York, NY",212 mg<br/>8.0 mm x 4.0 mm
Mercedes,Ketamine,"10</li>
",NA,"Jun 19, 2003","Jun 13, 2003","Minneapolis, MN",417 mg<br/>8.0 mm x 5.0 mm
Whale,Acetaminophen,"20</li>
",NA,"Jun 19, 2003","Jun 13, 2003","Glendale, CA",296 mg<br/>8.0 mm x 5.0 mm
Superman,MDMA,"1</li>
</ul>",NA,"Jun 19, 2003","Jun 13, 2003","New York, NY",158 mg<br/>7.0 mm x 4.0 mm
Plain Tablet,MDMA,"10</li>
",NA,"Jun 19, 2003","Jun 13, 2003","Burbank, CA",100 mg<br/>6.0 mm x 3.0 mm
Camel,Methamphetamine,"1</li>
</ul>",NA,"Jun 19, 2003","Jun 13, 2003","New York, NY",193 mg<br/>8.0 mm x 4.0 mm
Dolphin,Caffeine,"1</li>
</ul>",NA,"Jun 19, 2003","Jun 13, 2003","Houston, TX",265 mg<br/>8.0 mm x 5.0 mm
XL,MDMA,"1</li>
</ul>",NA,"Jun 19, 2003","Jun 13, 2003","Los Angeles, CA",275 mg<br/>8.0 mm x 5.0 mm
fish,MDMA,"1</li>
</ul>",NA,"Jun 19, 2003","Jun 13, 2003","West Palm Beach, FL",214 mg<br/>7.0 mm x 5.0 mm
Cartier,Unidentified,"1</li>
</ul>",NA,"Jun 19, 2003","May 23, 2003","Hollywood, CA",275 mg<br/>10.0 mm x 3.0 mm
Broken Arrow,Caffeine,"10</li>
",NA,"Jun 19, 2003","May 23, 2003","St. Paul, MN",226 mg<br/>8.0 mm x 4.0 mm
Peace,Methamphetamine,"1</li>
</ul>",NA,"Jun 19, 2003","May 23, 2003","Lynn, MA",312 mg<br/>12.0 mm x 3.0 mm
Evolution,Methamphetamine,"10</li>
",NA,"Jun 19, 2003","May 02, 2003","San Jose, CA",364 mg<br/>8.0 mm x 5.0 mm
Split,MDMA,"1</li>
</ul>",NA,"Jun 19, 2003","May 02, 2003","San Rafael, CA",116 mg<br/>7.0 mm x 3.0 mm
NL,MDMA,"1</li>
</ul>",NA,"Jun 19, 2003","May 02, 2003","Tampa, FL",160 mg<br/>7.0 mm x 4.0 mm
Versace,MDMA,"1</li>
</ul>",NA,"Jun 19, 2003","May 02, 2003","Las Vegas, NV",295 mg<br/>8.0 mm x 5.0 mm
Plain Tablet,MDMA,"1</li>
</ul>",NA,"Jun 19, 2003","May 02, 2003","Las Vegas, NV",242 mg<br/>8.0 mm x 4.0 mm
Cartier,Unidentified,"1</li>
</ul>",NA,"Jun 19, 2003","May 02, 2003","Hollywood, CA",275 mg<br/>10.0 mm x 3.0 mm
Yin Yang,MDA,"1</li>
</ul>",NA,"Jun 19, 2003","May 02, 2003","Detroit, MI",347 mg<br/>11.0 mm x 5.0 mm
Plain Tablet,BZP,"2</li>
",NA,"Jun 19, 2003","May 02, 2003","Vienna, VA",213 mg<br/>7.0 mm x 5.0 mm
Unknown,MDMA,"1</li>
</ul>",NA,"Jun 19, 2003","May 02, 2003","Sunrise, FL",133 mg<br/>6.0 mm x 4.0 mm
Plain Tablet,DXM,"1</li>
</ul>",NA,"Jun 19, 2003","May 02, 2003","Framinghamm, MA",91 mg<br/>6.0 mm x 4.0 mm
Star of David,MDMA,"1</li>
</ul>",NA,"Jun 19, 2003","May 02, 2003","Atlanta, GA",238 mg<br/>8.0 mm x 4.0 mm
Bacardi Bat,MDMA,"1</li>
</ul>",NA,"Jun 19, 2003","May 02, 2003","Miami, FL",241 mg<br/>9.0 mm x 3.0 mm
3,NA,NA,NA,"Jun 19, 2003","May 02, 2003","New York, NY",427 mg<br/>10.0 mm x 5.0 mm
Bacardi Bat,MDMA,"1</li>
</ul>",NA,"May 07, 2003","Apr 18, 2003","Phoenix, AZ",252 mg<br/>9.0 mm x 3.0 mm
Smiley,MDMA,"1</li>
</ul>",NA,"May 07, 2003","Apr 18, 2003","West Palm Beach, FL",205 mg<br/>8.0 mm x 3.0 mm
Sunflower,MDA,"1</li>
</ul>",NA,"May 07, 2003","Apr 18, 2003","West Palm Beach, FL",315 mg<br/>9.0 mm x 5.0 mm
Star,MDMA,"1</li>
</ul>",NA,"May 07, 2003","Apr 18, 2003","Hollis, NY",157 mg<br/>7.0 mm x 4.0 mm
Duck,MDMA,"1</li>
</ul>",NA,"May 07, 2003","Apr 04, 2003","San Francisco, CA",255 mg<br/>9.0 mm x 3.0 mm
Unknown,Carbamezepine,"1</li>
</ul>",NA,"May 07, 2003","Apr 04, 2003","Winston-Salem, NC",269 mg<br/>9.0 mm x 4.0 mm
Superman,MDMA,"1</li>
</ul>",NA,"May 07, 2003","Apr 04, 2003","New York, NY",92 mg<br/>7.0 mm x 3.0 mm
Rainbow,Pseudo/Ephedrine,"1</li>
</ul>",NA,"May 07, 2003","Apr 04, 2003","Miami, FL",229 mg<br/>7.0 mm x 5.0 mm
Euro,MDMA,"1</li>
",NA,"May 07, 2003","Apr 04, 2003","Seattle, WA",271 mg<br/>8.0 mm x 4.0 mm
Dove,MDMA,"4</li>
",NA,"May 07, 2003","Apr 04, 2003","Seattle, WA",314 mg<br/>8.0 mm x 6.0 mm
Split,Carisoprodol,"1</li>
",NA,"May 07, 2003","Apr 04, 2003","Tulsa, OK",504 mg<br/>11.0 mm x 5.0 mm
Duck,MDMA,"1</li>
</ul>",NA,"May 07, 2003","Apr 04, 2003","San Francisco, CA",256 mg<br/>9.0 mm x 4.0 mm
Smiley,MDMA,"4</li>
",NA,"May 07, 2003","Apr 04, 2003","Yreka, CA",200 mg<br/>7.0 mm x 4.0 mm
crab,MDMA,"1</li>
</ul>",NA,"Apr 14, 2003","Mar 21, 2003","Philadelphia, PA",133 mg<br/>6.0 mm x 4.0 mm
sunshine,PCP,"1.2</li>
",NA,"Apr 14, 2003","Mar 21, 2003","Powder Springs, GA",280 mg<br/>9.0 mm x 5.0 mm
Clover,Caffeine,"15</li>
",NA,"Apr 14, 2003","Mar 21, 2003","Denver, CO",336 mg<br/>9.0 mm x 5.0 mm
Butterfly,Caffeine,"100</li>
",NA,"Apr 14, 2003","Mar 21, 2003","New York, NY",218 mg<br/>8.0 mm x 4.0 mm
Daisy,Caffeine,"4</li>
",NA,"Apr 14, 2003","Mar 21, 2003","Seattle, WA",330 mg<br/>8.0 mm x 5.0 mm
Martian,MDMA,"2</li>
",NA,"Apr 14, 2003","Mar 21, 2003","Arlington, TX",200 mg<br/>8.0 mm x 3.0 mm
Motorola,Aspirin,"10</li>
",NA,"Apr 14, 2003","Mar 07, 2003","New York, NY",270 mg<br/>8.0 mm x 4.0 mm
Fish,MDMA,"1</li>
</ul>",NA,"Apr 14, 2003","Mar 07, 2003","Dallas, TX",207 mg<br/>7.0 mm x 4.0 mm
Smiley,Aspirin,"3</li>
",NA,"Apr 14, 2003","Mar 07, 2003","Seattle, WA",328 mg<br/>8.0 mm x 5.0 mm
V8,MDMA,"3</li>
",NA,"Apr 14, 2003","Mar 07, 2003","Houston, TX",154 mg<br/>7.0 mm x 3.0 mm
Footprint,Caffeine,"20</li>
",NA,"Apr 14, 2003","Mar 07, 2003","Houston, TX",221 mg<br/>8.0 mm x 4.0 mm
Omega,None Detected,"1</li>
</ul>",NA,"Apr 14, 2003","Mar 07, 2003","Los Angeles, CA",427 mg<br/>10.0 mm x 5.0 mm
Z. Cavaricci,Cocaine,"1</li>
</ul>",NA,"Apr 14, 2003","Mar 07, 2003","Chicago, IL",347 mg<br/>10.0 mm x 5.0 mm
Lightning Bolt,MDMA,"1</li>
</ul>",NA,"Apr 14, 2003","Mar 07, 2003","Los Angeles, CA",167 mg<br/>7.0 mm x 4.0 mm
Euro,MDMA,"1</li>
</ul>",NA,"Apr 14, 2003","Mar 07, 2003","Los Angeles, CA",366 mg<br/>7.0 mm x 4.0 mm
Plain Tablet,MDA,"1</li>
</ul>",NA,"Apr 14, 2003","Feb 07, 2003","Stowe, VT",132 mg<br/>13.0 mm x 3.0 mm
Love,Methamphetamine,"4</li>
",NA,"Feb 26, 2003","Feb 21, 2003","West Palm Beach, FL",190 mg<br/>8.0 mm x 4.0 mm
Split,Diphenhydramine,"10</li>
",NA,"Feb 26, 2003","Feb 21, 2003","Randolf, VT",309 mg<br/>10.0 mm x 4.0 mm
Euro,MDMA,"1</li>
</ul>",NA,"Feb 26, 2003","Feb 21, 2003","Los Angeles, CA",147 mg<br/>7.0 mm x 3.0 mm
Sheild,MDMA,"1</li>
</ul>",NA,"Feb 26, 2003","Feb 21, 2003","Apopka, FL",149 mg<br/>7.0 mm x 3.0 mm
Love,Methamphetamine,"4</li>
",NA,"Feb 26, 2003","Feb 21, 2003","West Palm Beach, FL",222 mg<br/>8.0 mm x 4.0 mm
Love,Methamphetamine,"4</li>
",NA,"Feb 26, 2003","Feb 21, 2003","Denver, CO",155 mg<br/>8.0 mm x 3.0 mm
Peace,MDMA,"1</li>
</ul>",NA,"Feb 26, 2003","Feb 21, 2003","Denver, CO",129 mg<br/>8.0 mm x 4.0 mm
A,MDMA,"1</li>
</ul>",NA,"Feb 26, 2003","Feb 21, 2003","Los Angeles, CA",222 mg<br/>8.0 mm x 4.0 mm
8 1/2,MDMA,"1</li>
</ul>",NA,"Feb 26, 2003","Feb 21, 2003","Boston, MA",288 mg<br/>8.0 mm x 5.0 mm
Club,MDMA,"1</li>
</ul>",NA,"Feb 26, 2003","Feb 21, 2003","Boston, MA",145 mg<br/>7.0 mm x 3.0 mm
Triangle,DXM,"1</li>
</ul>",NA,"Feb 26, 2003","Feb 07, 2003","Los Angeles, CA",257 mg<br/>8.0 mm x 5.0 mm
D &amp; G,MDA,"1</li>
</ul>",NA,"Feb 26, 2003","Feb 07, 2003","San Francisco, CA",200 mg<br/>8.0 mm x 4.0 mm
Versace,MDMA,"1</li>
</ul>",NA,"Feb 26, 2003","Feb 07, 2003","Los Angeles, CA",300 mg<br/>8.0 mm x 5.0 mm
Recycle,MDMA,"1</li>
</ul>",NA,"Feb 26, 2003","Feb 07, 2003","San Francisco, CA",168 mg<br/>7.0 mm x 5.0 mm
Dragon,MDMA,"1</li>
</ul>",NA,"Feb 26, 2003","Feb 07, 2003","New York, NY",145 mg<br/>7.0 mm x 3.0 mm
Spade,Caffeine,"10</li>
",NA,"Feb 26, 2003","Feb 07, 2003","Chicago, IL",337 mg<br/>9.0 mm x 4.0 mm
2000,MDMA,"1</li>
</ul>",NA,"Feb 26, 2003","Feb 07, 2003","Buffalo, NY",247 mg<br/>8.0 mm x 4.0 mm
Omega,MDA,"1</li>
</ul>",NA,"Feb 26, 2003","Feb 07, 2003","New York, NY",261 mg<br/>10.0 mm x 4.0 mm
Triangle,Methandrostenolone,"20</li>
",NA,"Feb 12, 2003","Jan 24, 2003","Colorado Springs, CO",121 mg<br/>7.0 mm x 3.0 mm
Plain Tablet,Methandrostenolone,"20</li>
",NA,"Feb 12, 2003","Jan 24, 2003","Colorado Springs, CO",116 mg<br/>7.0 mm x 3.0 mm
Pentagon,Methandrostenolone,"20</li>
</ul>",NA,"Feb 12, 2003","Jan 24, 2003","Colorado Springs, CO",114 mg<br/>6.0 mm x 4.0 mm
Mortal Kombat,MDMA,"1</li>
</ul>",NA,"Feb 12, 2003","Jan 24, 2003","Orlando, FL",143 mg<br/>7.0 mm x 3.0 mm
Alligator,DXM,"1</li>
</ul>",NA,"Feb 12, 2003","Jan 24, 2003","Atlanta, GA",167 mg<br/>8.0 mm x 3.0 mm
Question Mark,DXM,"4</li>
",NA,"Feb 12, 2003","Jan 24, 2003","Davis, CA",1 mg<br/>4.0 mm x 1.0 mm
Mercedes,MDMA,"1</li>
</ul>",NA,"Feb 12, 2003","Jan 24, 2003","Tuscon, AZ",216 mg<br/>8.0 mm x 4.0 mm
Pokemon,DXM,"1</li>
</ul>",NA,"Feb 12, 2003","Jan 24, 2003","Chicago, IL",365 mg<br/>9.0 mm x 5.0 mm
Stickman,Caffeine,"20</li>
",NA,"Feb 12, 2003","Jan 24, 2003","Buffalo, NY",215 mg<br/>8.0 mm x 4.0 mm
Plain Tablet,MDMA,"1</li>
</ul>",NA,"Feb 12, 2003","Jan 24, 2003","Greenville, MS",354 mg<br/>8.0 mm x 5.0 mm
Alligator,Caffeine,"1</li>
</ul>",NA,"Feb 12, 2003","Jan 24, 2003","Greenville, MS",295 mg<br/>8.0 mm x 5.0 mm
Dollar Sign,MDMA,"1</li>
</ul>",NA,"Feb 12, 2003","Jan 24, 2003","Miami, FL",149 mg<br/>7.0 mm x 3.0 mm
X-men,DXM,"20</li>
",NA,"Feb 12, 2003","Jan 24, 2003","Charlotte, NC",142 mg<br/>8.0 mm x 3.0 mm
Dolphin,Caffeine,"10</li>
",NA,"Feb 12, 2003","Jan 24, 2003","Bellvue, WA",317 mg<br/>8.0 mm x 4.0 mm
No Doz,Caffeine,"1</li>
</ul>",NA,"Feb 12, 2003","Jan 24, 2003","Minneapolis, MN",231 mg<br/>8.0 mm x 4.0 mm
Peace,MDMA,"20</li>
",NA,"Jan 16, 2003","Jan 10, 2003","West Palm Beach, FL",139 mg<br/>6.0 mm x 4.0 mm
Flower,MDA,"1</li>
</ul>",NA,"Jan 16, 2003","Jan 10, 2003","Brooklyn, NY",301 mg<br/>9.0 mm x 5.0 mm
Line Man,Caffeine,"10</li>
",NA,"Jan 16, 2003","Jan 10, 2003","Los Vegas, NV",252 mg<br/>8.0 mm x 5.0 mm
Plain Tablet,Ketamine,"10</li>
",NA,"Jan 16, 2003","Jan 10, 2003","Commerce, CA",310 mg<br/>10.0 mm x 4.0 mm
Dolphin,Caffeine,"100</li>
",NA,"Jan 16, 2003","Jan 10, 2003","Akima, WA",317 mg<br/>8.0 mm x 5.0 mm
Butterfly,Caffeine,"1</li>
</ul>",NA,"Jan 16, 2003","Jan 10, 2003","New York, NY",217 mg<br/>8.0 mm x 4.0 mm
Plain Tablet,None Detected,"1</li>
</ul>",NA,"Jan 16, 2003","Jan 10, 2003","Philadelphia, PA",215 mg<br/>8.0 mm x 4.0 mm
Lexus,Caffeine,"1</li>
</ul>",NA,"Jan 16, 2003","Jan 10, 2003","Hamilton, NJ",241 mg<br/>8.0 mm x 4.0 mm
Medusa,Caffeine,"20</li>
",NA,"Jan 16, 2003","Jan 10, 2003","Los Angeles, CA",308 mg<br/>9.0 mm x 4.0 mm
Bat,MDMA,"1</li>
</ul>",NA,"Dec 27, 2002","Dec 27, 2002","San Jose, CA",288 mg<br/>8.0 mm x 5.0 mm
Dove,MDMA,"1</li>
</ul>",NA,"Dec 27, 2002","Dec 27, 2002","San Francisco, CA",261 mg<br/>8.0 mm x 5.0 mm
Dove,MDMA,"1</li>
</ul>",NA,"Dec 27, 2002","Dec 27, 2002","San Francisco, CA",216 mg<br/>7.0 mm x 5.0 mm
Butterfly,None Detected,"---</li>
</ul>",NA,"Dec 27, 2002","Dec 27, 2002","Hollywood, CA",274 mg<br/>9.0 mm x 4.0 mm
Cartier,None Detected,"---</li>
</ul>",NA,"Dec 27, 2002","Dec 27, 2002","Los Angeles, CA",470 mg<br/>10.0 mm x 5.0 mm
Medusa,Caffeine,"4</li>
",NA,"Dec 27, 2002","Dec 27, 2002","Memphis, TN",296 mg<br/>9.0 mm x 4.0 mm
Pinkie,Acetaminophen,"10</li>
",NA,"Dec 27, 2002","Dec 27, 2002","San Francisco, CA",661 mg<br/>12.0 mm x 7.5 mm
Dolphin,Caffeine,"10</li>
",NA,"Dec 27, 2002","Dec 27, 2002","San Jose, CA",324 mg<br/>8.0 mm x 5.0 mm
X-men,Unidentified,"---</li>
</ul>",NA,"Dec 27, 2002","Dec 27, 2002","Houston, TX",508 mg<br/>11.0 mm x 6.0 mm
Crown,Caffeine,"10</li>
",NA,"Dec 27, 2002","Dec 27, 2002","San Francisco, CA",291 mg<br/>9.5 mm x 4.5 mm
Omega,None Detected,"---</li>
</ul>",NA,"Dec 27, 2002","Dec 27, 2002","Boca Raton, FL",205 mg<br/>8.0 mm x 4.0 mm
Blue Dolphin,Caffeine,"20</li>
",NA,"Dec 13, 2002","Dec 13, 2002","Oakland, CA",295 mg<br/>8.0 mm x 5.0 mm
Plain,MDA,"1</li>
</ul>",NA,"Dec 13, 2002","Dec 13, 2002","Seattle, WA",367 mg<br/>10.0 mm x 4.0 mm
Ferrari,MDMA,"1</li>
",NA,"Dec 13, 2002","Dec 13, 2002","New York, NY",194 mg<br/>8.0 mm x 4.0 mm
Lexus,Caffeine,"1</li>
</ul>",NA,"Dec 13, 2002","Dec 13, 2002","Baltimore, MD",210 mg<br/>8.0 mm x 4.0 mm
vw,Caffeine,"10</li>
",NA,"Dec 13, 2002","Dec 13, 2002","Lawrence, KS",228 mg<br/>8.0 mm x 4.0 mm
Ferrari,Caffeine,"3</li>
",NA,"Dec 13, 2002","Dec 13, 2002","Bellingham, WA",252 mg<br/>8.0 mm x 4.0 mm
Blue Dolphin,Caffeine,"20</li>
",NA,"Dec 13, 2002","Dec 13, 2002","Oakland, CA",314 mg<br/>8.0 mm x 5.0 mm
Omega,Methamphetamine,"1</li>
</ul>",NA,"Dec 13, 2002","Dec 13, 2002","West Palm Beach, FL",195 mg<br/>8.0 mm x 4.0 mm
Blue Dolphin,Caffeine,"3</li>
",NA,"Dec 13, 2002","Dec 13, 2002","San Francisco, CA",197 mg<br/>8.0 mm x 5.0 mm
Kangaroo,Caffeine,"5</li>
",NA,"Dec 13, 2002","Dec 13, 2002","Denver, CO",280 mg<br/>9.0 mm x 4.0 mm
Christmas Tree,Caffeine,"10</li>
",NA,"Dec 13, 2002","Dec 13, 2002","Phoenix, AZ",296 mg<br/>8.0 mm x 5.0 mm
Omega,MDA,"10</li>
",NA,"Dec 13, 2002","Dec 13, 2002","Chicago, IL",268 mg<br/>10.0 mm x 4.0 mm
Smiley,MDMA,"1</li>
</ul>",NA,"Dec 13, 2002","Dec 13, 2002","Tampa, FL",288 mg<br/>8.0 mm x 4.0 mm
Sunflower,MDA,"1</li>
</ul>",NA,"Nov 29, 2002","Nov 29, 2002","New York, NY",305 mg<br/>9.0 mm x 5.0 mm
Superman,MDMA,"1</li>
</ul>",NA,"Nov 29, 2002","Nov 29, 2002","Boston, MA",161 mg<br/>7.0 mm x 4.0 mm
Blue Dolphin,Caffeine,"10</li>
",NA,"Nov 29, 2002","Nov 29, 2002","Indianapolis, IN",309 mg<br/>8.0 mm x 5.0 mm
Unknown,Acetaminophen,"10</li>
",NA,"Nov 29, 2002","Nov 29, 2002","Houston, TX",257 mg<br/>8.0 mm x 4.0 mm
Sunshine,None Detected,"1</li>
</ul>",NA,"Nov 15, 2002","Nov 15, 2002","New York, NY",113 mg<br/>6.0 mm x 3.0 mm
HP,MDMA,"1</li>
</ul>",NA,"Nov 15, 2002","Nov 15, 2002","Miami, FL",168 mg<br/>7.0 mm x 4.0 mm
No Name,DXM,"1</li>
</ul>",NA,"Nov 15, 2002","Nov 15, 2002","Miami, FL",312 mg<br/>8.0 mm x 5.0 mm
Crossbow,MDMA,"1</li>
</ul>",NA,"Nov 15, 2002","Nov 15, 2002","Houston, TX",222 mg<br/>7.0 mm x 5.0 mm
Plain Tablet,None Detected,"1</li>
</ul>",NA,"Nov 15, 2002","Nov 15, 2002","San Francisco, CA",367 mg<br/>10.0 mm x 4.0 mm
Triangle,Unidentified,"15</li>
",NA,"Nov 15, 2002","Nov 15, 2002","Houston, TX",310 mg<br/>8.0 mm x 6.0 mm
Plain Tablet,Ketamine,"40</li>
",NA,"Nov 15, 2002","Nov 15, 2002","Los Angeles, CA",306 mg<br/>10.0 mm x 4.0 mm
Bird,MDMA,"4</li>
",NA,"Nov 06, 2002","Nov 01, 2002","Nashville, TN",252 mg<br/>9.0 mm x 3.0 mm
Igloo,MDMA,"1</li>
</ul>",NA,"Nov 06, 2002","Nov 01, 2002","Alta Vista, CA",254 mg<br/>8.0 mm x 4.0 mm
Info,Pseudo/Ephedrine,"5</li>
",NA,"Nov 06, 2002","Nov 01, 2002","Newport, VA",258 mg<br/>8.0 mm x 5.0 mm
Pacman,5-MeO-DiPT,"1</li>
</ul>",NA,"Nov 06, 2002","Nov 01, 2002","Seattle, WA",233 mg<br/>7.0 mm x 4.0 mm
Heart,MDMA,"1</li>
</ul>",NA,"Nov 06, 2002","Nov 01, 2002","Turin, NY",163 mg<br/>7.0 mm x 4.0 mm
none,MDMA,"1</li>
</ul>",NA,"Nov 06, 2002","Nov 01, 2002","Newark, DE",589 mg<br/>9.0 mm x 11.0 mm
Omega,None Detected,"---</li>
</ul>",NA,"Nov 06, 2002","Nov 01, 2002","West Palm Beach, FL",199 mg<br/>8.0 mm x 4.0 mm
Dolphin,DXM,"1</li>
</ul>",NA,"Nov 05, 2002","Oct 17, 2002","Atlanta, GA",192 mg<br/>8.0 mm x 4.0 mm
Dolphin,DXM,"1</li>
</ul>",NA,"Nov 05, 2002","Oct 17, 2002","Atlanta, GA",196 mg<br/>8.0 mm x 3.0 mm
Sunshine,MDA,"1</li>
</ul>",NA,"Oct 24, 2002","Oct 17, 2002","New York, NY",290 mg<br/>9.0 mm x 5.0 mm
Split,Methamphetamine,"1</li>
</ul>",NA,"Oct 24, 2002","Oct 17, 2002","New York, NY",228 mg<br/>8.0 mm x 4.0 mm
Dolphin,MDA,"10</li>
",NA,"Oct 24, 2002","Oct 17, 2002","Pasadena, CA",316 mg<br/>8.0 mm x 5.0 mm
Apple,MDMA,"3</li>
",NA,"Oct 24, 2002","Oct 17, 2002","San Francisco, CA",274 mg<br/>8.0 mm x 5.0 mm
Euro,MDMA,"1</li>
</ul>",NA,"Oct 24, 2002","Oct 17, 2002","Cambridge, MA",150 mg<br/>7.0 mm x 3.0 mm
Plain Tablet,MDMA,"1</li>
</ul>",NA,"Oct 24, 2002","Oct 17, 2002","Vista, CA",340 mg<br/>8.0 mm x 5.0 mm
Plain Tablet,None Detected,"---</li>
</ul>",NA,"Oct 24, 2002","Oct 17, 2002","Tampa, FL",27 mg<br/>4.0 mm x 2.0 mm
Plain Tablet,MDMA,"1</li>
</ul>",NA,"Oct 24, 2002","Oct 17, 2002","Newark, DE",152 mg<br/>6.0 mm x 5.0 mm
Smiley,MDMA,"1</li>
</ul>",NA,"Oct 24, 2002","Oct 17, 2002","Brockton, MA",146 mg<br/>7.0 mm x 3.0 mm
Plain Tablet,Caffeine,"20</li>
",NA,"Oct 24, 2002","Oct 17, 2002","Tallahassee, FL",271 mg<br/>10.0 mm x 4.0 mm
Plain Tablet,MDMA,"1</li>
</ul>",NA,"Oct 24, 2002","Oct 17, 2002","Huntington Beach, CA",285 mg<br/>8.0 mm x 4.0 mm
Smiley,MDMA,"1</li>
</ul>",NA,"Oct 24, 2002","Oct 17, 2002","Mill Valley, CA",201 mg<br/>8.0 mm x 4.0 mm
Yen,Ketamine,"4</li>
",NA,"Oct 24, 2002","Oct 17, 2002","Wonderlake, IL",259 mg<br/>8.0 mm x 5.0 mm
Clover,Caffeine,"1</li>
</ul>",NA,"Oct 24, 2002","Oct 17, 2002","Seattle, WA",349 mg<br/>9.0 mm x 5.0 mm
Plain Tablet,Ketamine,"1</li>
</ul>",NA,"Oct 24, 2002","Oct 17, 2002","Newark, DE",222 mg<br/>8.0 mm x 5.0 mm
Igloo,MDMA,"1</li>
</ul>",NA,"Oct 24, 2002","Oct 17, 2002","Los Angeles, CA",254 mg<br/>8.0 mm x 4.0 mm
Heart,MDMA,"1</li>
</ul>",NA,"Oct 24, 2002","Oct 17, 2002","Dallas, TX",196 mg<br/>8.0 mm x 4.0 mm
Cherries,Caffeine,"4</li>
",NA,"Oct 20, 2002","Oct 05, 2002","Pasadena, CA",300 mg<br/>9.0 mm x 4.0 mm
OK,MDMA,"1</li>
</ul>",NA,"Oct 20, 2002","Oct 05, 2002","San Diego, CA",187 mg<br/>8.0 mm x 4.0 mm
Star,DXM,"1</li>
</ul>",NA,"Oct 20, 2002","Oct 05, 2002","Las Vegas, NV",353 mg<br/>11.0 mm x 4.0 mm
Smiley,MDMA,"1</li>
</ul>",NA,"Oct 20, 2002","Oct 05, 2002","Boston, MA",208 mg<br/>7.0 mm x 4.0 mm
X Files,None Detected,"---</li>
</ul>",NA,"Oct 20, 2002","Oct 05, 2002","Boston, MA",253 mg<br/>9.0 mm x 4.0 mm
VW,Methamphetamine,"10</li>
",NA,"Oct 20, 2002","Oct 05, 2002","West Palm Beach, FL",204 mg<br/>8.0 mm x 4.0 mm
